timestamp,song_name,artist,valence,energy,hour
19-11-2025 15:38,Who,Jimin,0.84,0.76,15
19-11-2025 15:42,Fantastic Baby,BIGBANG,0.58,0.84,15
19-11-2025 15:46,pov,Ariana Grande,0.17,0.53,15
19-11-2025 18:50,NO,Meghan Trainor,0.66,0.8,18
19-11-2025 18:54,NO,Meghan Trainor,0.66,0.8,18
19-11-2025 18:59,Hurts So Good,Astrid S,0.38,0.61,18
19-11-2025 19:04,Attention,Charlie Puth,0.8,0.61,19
19-11-2025 19:08,Paradise,Chase Atlantic,0.3,0.8,19
19-11-2025 19:13,Dirty Work,Aespa,0.63,0.74,19
19-11-2025 19:17,Barbaad,The Rish,0.28,0.51,19
19-11-2025 19:21,I Like It,Cardi B,0.65,0.73,19
19-11-2025 19:28,Glimpse of Us,Joji,0.27,0.29,19
19-11-2025 19:31,august,Taylor Swift,0.4,0.62,19
19-11-2025 19:36,São Paulo,The Weekend,0.55,0.66,19
19-11-2025 19:40,supenatural,Ariana Grande,0.52,0.71,19
19-11-2025 19:46,Fade Into You,Mazzy Star,0.18,0.33,19
19-11-2025 19:52,Chemtrails Over The Country Club,Lana Del Rey,0.43,0.28,19
19-11-2025 19:55,WOKE UP,XG,0.46,0.63,19
21-11-2025 12:40,Killin' It Girl,J-Hope,0.8,0.89,12
21-11-2025 12:45,Woman,Doja Cat,0.88,0.76,12
21-11-2025 12:49,Mi Gente,J Balvin,0.31,0.69,12
21-11-2025 12:55,luther (with sza),Kendrick Lamar,0.58,0.57,12
21-11-2025 16:46,Magic Shop,BTS,0.28,0.66,16
21-11-2025 16:51,Love wins all,IU,0.32,0.45,16
21-11-2025 16:54,Who,Jimin,0.84,0.76,16
21-11-2025 16:57,luther (with sza),Kendrick Lamar,0.58,0.57,16
21-11-2025 17:04,All The Stars,Kendrick Lamar,0.55,0.63,17
21-11-2025 17:08,Woman,Doja Cat,0.88,0.76,17
21-11-2025 17:15,august,Taylor Swift,0.4,0.62,17
21-11-2025 17:19,pov,Ariana Grande,0.17,0.53,17
21-11-2025 17:24,WILDFLOWER,Billie Eilish,0.13,0.25,17
21-11-2025 17:30,supenatural,Ariana Grande,0.52,0.71,17
21-11-2025 17:37,Fantastic Baby,BIGBANG,0.58,0.84,17
21-11-2025 17:41,Apocalypse,Cigarettes After Sex,0.17,0.47,17
21-11-2025 17:47,NO,Meghan Trainor,0.66,0.8,17
21-11-2025 21:14,Barbaad,The Rish,0.28,0.51,21
22-11-2025 01:21,Love wins all,IU,0.32,0.45,1
22-11-2025 13:13,I Like It,Cardi B,0.65,0.73,13
22-11-2025 13:17,Jhol - Acoustic,Maanu,0.52,0.26,13
22-11-2025 13:22,WILDFLOWER,Billie Eilish,0.13,0.25,13
22-11-2025 13:26,Attention,Charlie Puth,0.8,0.61,13
22-11-2025 13:30,Gimme More,Britney Spears,0.38,0.84,13
22-11-2025 13:35,Fantastic Baby,BIGBANG,0.58,0.84,13
22-11-2025 13:40,Fantastic Baby,BIGBANG,0.58,0.84,13
22-11-2025 16:35,Like Jennie,Jennie,0.82,0.74,16
22-11-2025 16:42,Attention,Charlie Puth,0.8,0.61,16
22-11-2025 16:47,Moonlight,Chase Atlantic,0.14,0.58,16
22-11-2025 16:53,NO,Meghan Trainor,0.66,0.8,16
22-11-2025 17:00,Jhol - Acoustic,Maanu,0.52,0.26,17
22-11-2025 17:04,Like Jennie,Jennie,0.82,0.74,17
22-11-2025 17:08,Swim,Chase Atlantic,0.08,0.54,17
22-11-2025 17:11,São Paulo,The Weekend,0.55,0.66,17
22-11-2025 17:18,CHIHIRO,Billie Eilish,0.52,0.43,17
22-11-2025 17:25,Killin' It Girl,J-Hope,0.8,0.89,17
22-11-2025 17:31,WILDFLOWER,Billie Eilish,0.13,0.25,17
22-11-2025 17:37,NO,Meghan Trainor,0.66,0.8,17
22-11-2025 17:41,Mantra,JENNIE,0.84,0.73,17
22-11-2025 17:47,CHIHIRO,Billie Eilish,0.52,0.43,17
22-11-2025 17:52,Magic Shop,BTS,0.28,0.66,17
22-11-2025 17:55,Mantra,JENNIE,0.84,0.73,17
22-11-2025 18:01,Arson,J-Hope,0.27,0.8,18
22-11-2025 18:06,Can't Help Falling in Love,Elvis Presley,0.34,0.29,18
22-11-2025 18:11,Woman,Doja Cat,0.88,0.76,18
22-11-2025 18:15,Fade Into You,Mazzy Star,0.18,0.33,18
22-11-2025 18:20,Replay,SHINee,0.59,0.78,18
23-11-2025 02:35,Barbaad,The Rish,0.28,0.51,2
23-11-2025 02:40,Can't Help Falling in Love,Elvis Presley,0.34,0.29,2
23-11-2025 02:46,Wait On Me,KAI,0.36,0.87,2
23-11-2025 02:51,FE!N,Travis Scott,0.2,0.88,2
23-11-2025 02:56,Brooklyn Baby,Lana Del Rey,0.09,0.66,2
23-11-2025 12:11,I Like It,Cardi B,0.65,0.73,12
23-11-2025 12:17,Moonlight,Chase Atlantic,0.14,0.58,12
23-11-2025 12:22,Sunflower,"Post Malone, Swae Lee",0.91,0.48,12
23-11-2025 12:27,São Paulo,The Weekend,0.55,0.66,12
23-11-2025 12:32,Attention,Charlie Puth,0.8,0.61,12
23-11-2025 12:36,I Like It,Cardi B,0.65,0.73,12
23-11-2025 12:40,Still With You,Jung Kook,0.34,0.47,12
23-11-2025 12:45,lovely (with Khalid),Billie Eilish,0.12,0.3,12
23-11-2025 12:50,Replay,SHINee,0.59,0.78,12
23-11-2025 12:54,Humsafar,Sachet-Parampara,0.53,0.77,12
23-11-2025 12:58,Wildest Dreams,Taylor Swift,0.47,0.67,12
23-11-2025 15:14,Shy (eh o),PENOMECO,0.91,0.66,15
23-11-2025 15:19,Sunflower,"Post Malone, Swae Lee",0.91,0.48,15
23-11-2025 15:25,Dirty Work,Aespa,0.63,0.74,15
23-11-2025 15:28,Attention,NewJeans,0.7,0.65,15
23-11-2025 15:34,I Like It,Cardi B,0.65,0.73,15
23-11-2025 15:37,Enduko Emo,Alaap Raju,0.7,0.63,15
23-11-2025 15:44,Replay,SHINee,0.59,0.78,15
23-11-2025 15:50,Young and Beautiful,Lana Del Rey,0.15,0.42,15
23-11-2025 15:55,Like Jennie,Jennie,0.82,0.74,15
23-11-2025 18:49,WOKE UP,XG,0.46,0.63,18
